Volume ID	Volume Name	Volume Mass
5669	FiberSiPM	1.169e-06
5670	SiBoard	2.33e-06
5671	Fiber	0.00260055
5672	FiberSiPM	1.169e-06
5673	SiBoard	2.33e-06
5674	FiberSiPM	1.169e-06
5675	SiBoard	2.33e-06
5676	Fiber	0.00260055
5677	FiberSiPM	1.169e-06
5678	SiBoard	2.33e-06
5679	FiberSiPM	1.169e-06
5680	SiBoard	2.33e-06
5681	Fiber	0.00260055
5682	FiberSiPM	1.169e-06
5683	SiBoard	2.33e-06
5684	FiberSiPM	1.169e-06
5685	SiBoard	2.33e-06
5686	Fiber	0.00260055
5687	FiberSiPM	1.169e-06
5688	SiBoard	2.33e-06
5689	FiberSiPM	1.169e-06
5690	SiBoard	2.33e-06
5691	Fiber	0.00260055
5692	FiberSiPM	1.169e-06
5693	SiBoard	2.33e-06
5694	FiberSiPM	1.169e-06
5695	SiBoard	2.33e-06
5696	Fiber	0.00260055
5697	FiberSiPM	1.169e-06
5698	SiBoard	2.33e-06
5699	FiberSiPM	1.169e-06
5700	SiBoard	2.33e-06
5701	Fiber	0.00260055
5702	FiberSiPM	1.169e-06
5703	SiBoard	2.33e-06
5704	FiberSiPM	1.169e-06
5705	SiBoard	2.33e-06
5706	Fiber	0.00260055
5707	FiberSiPM	1.169e-06
5708	SiBoard	2.33e-06
5709	FiberSiPM	1.169e-06
5710	SiBoard	2.33e-06
5711	Fiber	0.00260055
5712	FiberSiPM	1.169e-06
5713	SiBoard	2.33e-06
5714	FiberSiPM	1.169e-06
5715	SiBoard	2.33e-06
5716	Fiber	0.00260055
5717	FiberSiPM	1.169e-06
5718	SiBoard	2.33e-06
5719	FiberSiPM	1.169e-06
5720	SiBoard	2.33e-06
5721	Fiber	0.00260055
5722	FiberSiPM	1.169e-06
5723	SiBoard	2.33e-06
5724	FiberSiPM	1.169e-06
5725	SiBoard	2.33e-06
5726	Fiber	0.00260055
5727	FiberSiPM	1.169e-06
5728	SiBoard	2.33e-06
5729	FiberSiPM	1.169e-06
5730	SiBoard	2.33e-06
5731	Fiber	0.00260055
5732	FiberSiPM	1.169e-06
5733	SiBoard	2.33e-06
5734	FiberSiPM	1.169e-06
5735	SiBoard	2.33e-06
5736	Fiber	0.00260055
5737	FiberSiPM	1.169e-06
5738	SiBoard	2.33e-06
5739	FiberSiPM	1.169e-06
5740	SiBoard	2.33e-06
5741	Fiber	0.00260055
5742	FiberSiPM	1.169e-06
5743	SiBoard	2.33e-06
5744	FiberSiPM	1.169e-06
5745	SiBoard	2.33e-06
5746	Fiber	0.00260055
5747	FiberSiPM	1.169e-06
5748	SiBoard	2.33e-06
5749	FiberSiPM	1.169e-06
5750	SiBoard	2.33e-06
5751	Fiber	0.00260055
5752	FiberSiPM	1.169e-06
5753	SiBoard	2.33e-06
5754	FiberSiPM	1.169e-06
5755	SiBoard	2.33e-06
5756	Fiber	0.00260055
5757	FiberSiPM	1.169e-06
5758	SiBoard	2.33e-06
5759	FiberSiPM	1.169e-06
5760	SiBoard	2.33e-06
5761	Fiber	0.00260055
5762	FiberSiPM	1.169e-06
5763	SiBoard	2.33e-06
5764	FiberSiPM	1.169e-06
5765	SiBoard	2.33e-06
5766	Fiber	0.00260055
5767	FiberSiPM	1.169e-06
5768	SiBoard	2.33e-06
5769	FiberSiPM	1.169e-06
5770	SiBoard	2.33e-06
5771	Fiber	0.00260055
5772	FiberSiPM	1.169e-06
5773	SiBoard	2.33e-06
5774	FiberSiPM	1.169e-06
5775	SiBoard	2.33e-06
5776	Fiber	0.00260055
5777	FiberSiPM	1.169e-06
5778	SiBoard	2.33e-06
5779	FiberSiPM	1.169e-06
5780	SiBoard	2.33e-06
5781	Fiber	0.00260055
5782	FiberSiPM	1.169e-06
5783	SiBoard	2.33e-06
5784	FiberSiPM	1.169e-06
5785	SiBoard	2.33e-06
5786	Fiber	0.00260055
5787	FiberSiPM	1.169e-06
5788	SiBoard	2.33e-06
5789	FiberSiPM	1.169e-06
5790	SiBoard	2.33e-06
5791	Fiber	0.00260055
5792	FiberSiPM	1.169e-06
5793	SiBoard	2.33e-06
5794	FiberSiPM	1.169e-06
5795	SiBoard	2.33e-06
5796	Fiber	0.00260055
5797	FiberSiPM	1.169e-06
5798	SiBoard	2.33e-06
5799	FiberSiPM	1.169e-06
5800	SiBoard	2.33e-06
5801	Fiber	0.00260055
5802	FiberSiPM	1.169e-06
5803	SiBoard	2.33e-06
5804	FiberSiPM	1.169e-06
5805	SiBoard	2.33e-06
5806	Fiber	0.00260055
5807	FiberSiPM	1.169e-06
5808	SiBoard	2.33e-06
5809	FiberSiPM	1.169e-06
5810	SiBoard	2.33e-06
5811	Fiber	0.00260055
5812	FiberSiPM	1.169e-06
5813	SiBoard	2.33e-06
5814	FiberSiPM	1.169e-06
5815	SiBoard	2.33e-06
5816	Fiber	0.00260055
5817	FiberSiPM	1.169e-06
5818	SiBoard	2.33e-06
5819	FiberSiPM	1.169e-06
5820	SiBoard	2.33e-06
5821	Fiber	0.00260055
5822	FiberSiPM	1.169e-06
5823	SiBoard	2.33e-06
5824	FiberSiPM	1.169e-06
5825	SiBoard	2.33e-06
5826	Fiber	0.00260055
5827	FiberSiPM	1.169e-06
5828	SiBoard	2.33e-06
5829	FiberSiPM	1.169e-06
5830	SiBoard	2.33e-06
5831	Fiber	0.00260055
5832	FiberSiPM	1.169e-06
5833	SiBoard	2.33e-06
5834	FiberSiPM	1.169e-06
5835	SiBoard	2.33e-06
5836	Fiber	0.00260055
5837	FiberSiPM	1.169e-06
5838	SiBoard	2.33e-06
5839	FiberSiPM	1.169e-06
5840	SiBoard	2.33e-06
5841	Fiber	0.00260055
5842	FiberSiPM	1.169e-06
5843	SiBoard	2.33e-06
5844	FiberSiPM	1.169e-06
5845	SiBoard	2.33e-06
5846	Fiber	0.00260055
5847	FiberSiPM	1.169e-06
5848	SiBoard	2.33e-06
5849	FiberSiPM	1.169e-06
5850	SiBoard	2.33e-06
5851	Fiber	0.00260055
5852	FiberSiPM	1.169e-06
5853	SiBoard	2.33e-06
5854	FiberSiPM	1.169e-06
5855	SiBoard	2.33e-06
5856	Fiber	0.00260055
5857	FiberSiPM	1.169e-06
5858	SiBoard	2.33e-06
5859	FiberSiPM	1.169e-06
5860	SiBoard	2.33e-06
5861	Fiber	0.00260055
5862	FiberSiPM	1.169e-06
5863	SiBoard	2.33e-06
5864	FiberSiPM	1.169e-06
5865	SiBoard	2.33e-06
5866	Fiber	0.00260055
5867	FiberSiPM	1.169e-06
5868	SiBoard	2.33e-06
5869	FiberSiPM	1.169e-06
5870	SiBoard	2.33e-06
5871	Fiber	0.00260055
5872	FiberSiPM	1.169e-06
5873	SiBoard	2.33e-06
5874	FiberSiPM	1.169e-06
5875	SiBoard	2.33e-06
5876	Fiber	0.00260055
5877	FiberSiPM	1.169e-06
5878	SiBoard	2.33e-06
5879	FiberSiPM	1.169e-06
5880	SiBoard	2.33e-06
5881	Fiber	0.00260055
5882	FiberSiPM	1.169e-06
5883	SiBoard	2.33e-06
5884	FiberSiPM	1.169e-06
5885	SiBoard	2.33e-06
5886	Fiber	0.00260055
5887	FiberSiPM	1.169e-06
5888	SiBoard	2.33e-06
5889	FiberSiPM	1.169e-06
5890	SiBoard	2.33e-06
5891	Fiber	0.00260055
5892	FiberSiPM	1.169e-06
5893	SiBoard	2.33e-06
5894	FiberSiPM	1.169e-06
5895	SiBoard	2.33e-06
5896	Fiber	0.00260055
5897	FiberSiPM	1.169e-06
5898	SiBoard	2.33e-06
5899	FiberSiPM	1.169e-06
5900	SiBoard	2.33e-06
5901	Fiber	0.00260055
5902	FiberSiPM	1.169e-06
5903	SiBoard	2.33e-06
5904	FiberSiPM	1.169e-06
5905	SiBoard	2.33e-06
5906	Fiber	0.00260055
5907	FiberSiPM	1.169e-06
5908	SiBoard	2.33e-06
5909	FiberSiPM	1.169e-06
5910	SiBoard	2.33e-06
5911	Fiber	0.00260055
5912	FiberSiPM	1.169e-06
5913	SiBoard	2.33e-06
5914	FiberSiPM	1.169e-06
5915	SiBoard	2.33e-06
5916	Fiber	0.00260055
5917	FiberSiPM	1.169e-06
5918	SiBoard	2.33e-06
5919	FiberSiPM	1.169e-06
5920	SiBoard	2.33e-06
5921	Fiber	0.00260055
5922	FiberSiPM	1.169e-06
5923	SiBoard	2.33e-06
5924	FiberSiPM	1.169e-06
5925	SiBoard	2.33e-06
5926	Fiber	0.00260055
5927	FiberSiPM	1.169e-06
5928	SiBoard	2.33e-06
5929	FiberSiPM	1.169e-06
5930	SiBoard	2.33e-06
5931	Fiber	0.00260055
5932	FiberSiPM	1.169e-06
5933	SiBoard	2.33e-06
5934	FiberSiPM	1.169e-06
5935	SiBoard	2.33e-06
5936	Fiber	0.00260055
5937	FiberSiPM	1.169e-06
5938	SiBoard	2.33e-06
5939	FiberSiPM	1.169e-06
5940	SiBoard	2.33e-06
5941	Fiber	0.00260055
5942	FiberSiPM	1.169e-06
5943	SiBoard	2.33e-06
5944	FiberSiPM	1.169e-06
5945	SiBoard	2.33e-06
5946	Fiber	0.00260055
5947	FiberSiPM	1.169e-06
5948	SiBoard	2.33e-06
5949	FiberSiPM	1.169e-06
5950	SiBoard	2.33e-06
5951	Fiber	0.00260055
5952	FiberSiPM	1.169e-06
5953	SiBoard	2.33e-06
5954	FiberSiPM	1.169e-06
5955	SiBoard	2.33e-06
5956	Fiber	0.00260055
5957	FiberSiPM	1.169e-06
5958	SiBoard	2.33e-06
5959	FiberSiPM	1.169e-06
5960	SiBoard	2.33e-06
5961	Fiber	0.00260055
5962	FiberSiPM	1.169e-06
5963	SiBoard	2.33e-06
5964	FiberSiPM	1.169e-06
5965	SiBoard	2.33e-06
5966	Fiber	0.00260055
5967	FiberSiPM	1.169e-06
